"December 18, 2020",40,Great Steak at Great prices.,"The Americans certainly know how to cook steak and cook it the way you want it. Mouth watering, fresh, & full of flavor. We had a great meal with great service."
"November 23, 2020",30,All sizzle and no flavor,"The cozy ambience, large size of the steaks, and wonderful service would have made for a great evening. Sadly, my ribeye had poor texture, was very dry, not very tender, and probably needed a large dose of salt to bring out any flavor. Very disappointing."
"October 31, 2020",40,Birthday Dinner,"We celebrated my husband birthday and had an awesome steak dinner. Accompanied by great drinks, delicious octopus appetizer and tres leches yummy dessert. Will definitely go back."
"October 18, 2020",50,Very nice and beautiful place,If you really want steak - it is right place. Very calm and nice atmosphere. Service was excellent! Everthing was very authentic.
"October 13, 2020",50,The Ribeye was spot on! Service,The Ribeye was spot on! Service was excellent. Was very satisfied with our dining experience. Don’t pass this place up.
"September 4, 2020",30,Loved our steaks but have,Loved our steaks but have never been asked by the manager to please leave in 6 mins. Maybe it was because out of the 6 of us only 2 were drinking.
"March 16, 2020",40,Evening dinner,Had a tasty steak with a glass of wine. The meat was really good and I warmly recommend this restaurant.
"March 11, 2020",50,Great place to eat! Wife,Great place to eat! Wife and I stopped in before a play. Told them it was my wife’s birthday and they all sang happy birthday. Will go back next time we’re in the city
"March 6, 2020",50,Simply excellent!,"Holy...shi..When you eat here. You are just simply happy after you eat the food, it is so good. The food and the service is excellent. Know something about the meat what they serving. Because they make everything perfect. Also the drinks are good..."
"March 6, 2020",50,Dinner,"We went for my boyfriend’s birthday and it ended up being the best steak we’ve ever had! We split the 50 oz Porterhouse, it was cooked to perfection! The fresh grated horseradish on top was a nice touch too. We definitely will be returning soon!"
"February 29, 2020",50,Best Steakhouse in New York City,The New York strip steak was served on a hot plate with fresh shaved horseradish melted on top. Amazing flavor. Definitely one of the best steaks I’ve ever had!
"February 29, 2020",50,Great steak,"Visited for my wife's 40th birthday. Outstanding food and service. huge cuts, recommend sharing a steak."
"February 28, 2020",50,Aw,"Excellent meal, great atmosphere!! Impeccable service. Definitely a favorite, Staff was very friendly and helpful. Went above and beyond for us."
"February 27, 2020",50,Best Bartender: Tim,"Let me tell you honey, Tim was the BEST New York bartender I’ve ever had - sweet, friendly and hospitable! And I’ve lived in New York for 5 years!"
"February 27, 2020",50,Great atmosphere,"Love this place! The steak is amazing and make sure to sit at the bar with Tim the bartender, he is so personable and humorous. A breathe of fresh air in the hustle of NYC!"
"February 27, 2020",50,Tim makes the best Margaritas!!!,K Rico is consistently my favorite place for Brunch. Not too slammed but delicious. And the margs!!!
"February 27, 2020",50,Great service. Wonderful food,Great service. Wonderful food and staff. Go visit because you will not regret it. Such a wonderful food exsperience
"February 26, 2020",50,Amazing! Super dinner!,Amazing! Super dinner. Highly recommend the Porterhouse. Serves 3 people. Fantastic night. Sides could be not so little.
"February 26, 2020",50,Gold quality steak and silver service,"Fantastic food and attentive service for a wonderful 40th birthday meal. Warm welcome, silver service standards, knowledgeable waiters, simply amazing steaks and cheesecake. Really nice touch with owner Tommy saying hi and the waiters singing happy birthday. The best steak I’ve ever had!!"
"February 23, 2020",50,Excellent food and service,"Excellent fresh food and very quick service, highly recommended ! Easy to make an online reservation."
"February 23, 2020",50,Probably the best meal and,"Probably the best meal and value we had while in NYC. Everything was amazing from the service to the food. The special steak was extremely flavorful, the mussels app was phenomenal, and the sides were just as perfect. Do not hesitate to eat here."
"February 22, 2020",50,Fantastic Steak on a Cold Night,The fillet was wonderful as well as the empanadas and you must try the Strawberry Salad. The service and atmosphere were superb.
"February 22, 2020",50,Den beste restauranten i NU,Great service! Best food we ate in NY! Owner Tommy followed us up in an amazingly unique way! Can recommend anyone going to NY and have a meal here! We will come back next time!
"February 21, 2020",50,This is by far the best steakhouse,This is by far the best steakhouse ever. My ribeye was cooked to perfection and so tasty. The staff were amazing and super attentive they even set a place for my nieces American girl doll. I will definitely be back
"February 18, 2020",50,Wonderful steak,Really enjoyed our meal here. Steak was delicious. Biggest baked potato I’ve ever seen. Lots of different dips and owner was really nice. Introduced himself and had a chat
"February 16, 2020",50,50oz porterhouse was perfect,"50oz porterhouse was perfectly cooked and probably the best steak I’ve ever had. Service was good, food excellent. Thank you for a great meal!"
"February 15, 2020",50,We loved our brunch at K Rico!,We loved our brunch at K Rico! The steak was perfectly cooked. Super fun and friendly staff that ensured we had a great time! We’ll be back!
"February 11, 2020",50,Best steak I have EVER had,"Yes it is expensive, but it is certainly worth it, I went for the 22 oz Ribeye, Sue went for the small Fillet (8 oz!) Both were melt in the mouth delicious."
"February 9, 2020",50,Best steak and nicest people,Best steak and nicest people you’ll get. 100% recommend. Staff very helpful and full range of top notch steak
"February 8, 2020",50,Wonderful memory,I came to KRico with my family and had one of the most memorable meals ever. Great food and excellent service. I will come anytime in a heart beat.
"February 4, 2020",50,Amazing service and food,"Meat is well presented, cooked to perfection service is outstanding very attentive staff great place for couples or family"
"February 2, 2020",50,Great Brunch,"Had the salmon frittata and it was *so* delicious -- Adam, the bartender, was very attentive and friendly, and the drinks he made were dangerously good. What a lovely surprise!"
"February 1, 2020",50,K Rico’s rating,"K Rico is the best South American steakhouse in New York, and give you the best service tho. And is an very nice restaurant."
